zone_id,start_time,weekday,hour,hours_worked,earnings,distance_km,trips_completed,active_drivers,active_hour_wage,revenue_per_trip,fare_per_km,earnings_per_driver,log_hours,log_trips,log_active_drivers,log_active_hour_wage,log_revenue_per_trip,log_fare_per_km,log_earnings_per_driver,wage,log_wage
Financial District/South Beach,2024-05-11 19:00:00,5,19,7.277061388888889,721.55,260.67036083,37,29,99.15403504795376,19.50135135135135,2.7680554003244326,24.88103448275862,1.9847271253454293,3.6109179126442243,3.367295829986474,4.596674550536657,2.970483763237862,1.0181450521232098,3.2141058458956127,2.7680554003244326,1.0181450521232098
Financial District/South Beach,2024-05-11 20:00:00,5,20,8.154473888888889,758.24,297.05367160000003,31,19,92.98453957074553,24.45935483870968,2.5525353580581696,39.90736842105263,2.0985667200603975,3.4339872044851463,2.9444389791664403,4.532433238158881,3.197012753734132,0.9370871232851953,3.6865609790528375,2.5525353580581696,0.9370871232851953
Financial District/South Beach,2024-05-11 21:00:00,5,21,6.818796944444444,616.01,202.50359983,39,19,90.33998299390464,15.795128205128204,3.0419706144341876,32.421578947368424,1.9196830551870125,3.6635616461296463,2.9444389791664403,4.503580141980975,2.759701551038341,1.1125055338411298,3.478824218001547,3.0419706144341876,1.1125055338411298
Financial District/South Beach,2024-05-11 22:00:00,5,22,10.350031944444444,912.24,366.2835089,44,26,88.13885840126903,20.732727272727274,2.4905298159329714,35.08615384615385,2.336989606126368,3.784189633918261,3.258096538021482,4.478913507222735,3.031713479430842,0.9124954653258193,3.557806575327621,2.4905298159329714,0.9124954653258193
Financial District/South Beach,2024-05-11 23:00:00,5,23,6.963003611111111,678.14,263.1525351,30,19,97.39187825751922,22.604666666666667,2.5769844844637406,35.69157894736842,1.940610934574538,3.4011973816621555,2.9444389791664403,4.578742821725315,3.1181563746376977,0.9466199108774583,3.5749147771334124,2.5769844844637406,0.9466199108774583
Financial District/South Beach,2024-05-12 00:00:00,6,0,6.367363611111111,462.3,122.6889785,31,15,72.60461758352892,14.912903225806453,3.7680646269297937,30.82,1.8511855081071087,3.4339872044851463,2.70805020110221,4.285028522887071,2.7022268265090337,1.326561508087677,3.42816382989197,3.7680646269297937,1.326561508087677
Financial District/South Beach,2024-05-12 01:00:00,6,1,3.0544036111111112,252.04000000000002,57.853798000000005,16,10,82.51692706332106,15.752500000000001,4.356498772993262,25.204,1.1165843562539404,2.772588722239781,2.302585092994046,4.413003448819914,2.756999082834074,1.471668701039506,3.227002712079809,4.356498772993262,1.471668701039506
Financial District/South Beach,2024-05-12 02:00:00,6,2,3.9066147222222223,331.71,109.6859399,20,11,84.9098320633245,16.5855,3.024179765450503,30.155454545454543,1.3626711990328602,2.995732273553991,2.3978952727983707,4.44158989418956,2.808528819668429,1.106639902797288,3.4063658204240497,3.024179765450503,1.106639902797288
Financial District/South Beach,2024-05-12 03:00:00,6,3,5.6394725,572.3100000000001,232.6022512,23,12,101.48289578502245,24.883043478260873,2.460466298358853,47.6925,1.7297905327671226,3.1354942159291497,2.4849066497880004,4.619890269848414,3.2141865866863863,0.9003508841599227,3.8647741528275357,2.460466298358853,0.9003508841599227
Financial District/South Beach,2024-05-12 04:00:00,6,4,6.4486172222222224,687.53,276.98819060000005,25,17,106.6166553708198,27.501199999999997,2.4821635843416345,40.44294117647058,1.8638657236725205,3.2188758248682006,2.833213344056216,4.669239741279804,3.3142296400841236,0.9091305928868032,3.699892120896108,2.4821635843416345,0.9091305928868032
